question,document,score,reasoning
support engineer jobs in Herzliya Israel with storage or backup systems,https://il.linkedin.com/jobs/view/technical-support-engineer-iii-israel-at-cohesity-4415367466,good,"The answer correctly identifies the ground-truth job as Cohesity’s Technical Support Engineer III in Herzliya and accurately summarizes its focus on data protection, storage, backup/NetBackup, virtualization, and related troubleshooting tools. It also correctly notes this is the strongest match for a support engineer role with storage/backup systems. The extra SolarEdge item is irrelevant but does not undermine the main recommendation."
technical support role in Tel Aviv area working on cloud and databases,https://il.linkedin.com/jobs/view/technical-support-engineer-iii-israel-at-cohesity-4415367466,good,"The answer correctly identifies the Cohesity Technical Support Engineer III role in Herzliya, Tel Aviv District, which matches the query for a technical support role in the Tel Aviv area working on cloud and databases. It mentions the key responsibilities involving cloud and databases, and the support nature of the position. Although it also includes an extra unrelated second option, the primary recommendation is correct."
enterprise support engineer opening Israel troubleshooting Linux and networking tools,https://il.linkedin.com/jobs/view/technical-support-engineer-iii-israel-at-cohesity-4415367466,good,"The answer correctly identifies the ground-truth job as Cohesity’s Technical Support Engineer III, Israel in Herzliya and highlights relevant troubleshooting skills like tcpdump, strace, wireshark, networking, storage, virtualization, and OS support. However, it adds unrelated extra job openings, including a duplicated/misspelled Cohesity role and another company (Voyager Labs), which are not part of the reference. Since the main recommendation is correct and the core job details match, this is acceptable despite extra noise."
job for data protection / backup support engineer near Herzliya,https://il.linkedin.com/jobs/view/technical-support-engineer-iii-israel-at-cohesity-4415367466,good,"The AI answer correctly identifies the Cohesity Technical Support Engineer III role in Herzliya and accurately describes it as focused on data protection, backup/support, and related troubleshooting. It matches the location and core technical domain from the reference job description. No mismatch in company, title, or key responsibilities."
customer-facing tech support position in Israel with nights or shift work,https://il.linkedin.com/jobs/view/technical-support-engineer-iii-israel-at-cohesity-4415367466,good,"The AI answer correctly identifies the reference job: Technical Support Engineer III at Cohesity in Herzliya, Israel. It accurately notes that it is customer-facing technical support and explicitly mentions shifts including early evenings, nights, weekends, and holidays, which matches the user's request. The extra XM Cyber suggestions do not affect correctness because the main recommendation is right."
entry level data analyst job tel aviv excel powerpoint,https://www.indeed.com/viewjob?jk=466348bfe369d377,good,"The AI answer correctly identifies the reference job as the top match: Junior Research Analyst at StoreNext in Tel Aviv-Yafo, entry-level, with Excel and PowerPoint, and describing data analysis/market research work. It also notes no prior experience required. Although it includes an extra incorrect duplicate location (Raanana) that is not in the ground truth, the main recommendation is correct and matches the query well."
junior research analyst job in tel aviv no experience,https://www.indeed.com/viewjob?jk=466348bfe369d377,good,"The AI answer correctly identifies the ground-truth job: Junior Research Analyst at StoreNext in Tel Aviv-Yafo, entry-level/0+ experience, with no prior experience required, and mentions relevant skills like Excel and presentation skills. It also distinguishes a non-Tel Aviv listing, but that does not affect the correctness of the main recommendation. Overall it matches the reference description well."
market research analyst role israel consumer goods,https://www.indeed.com/viewjob?jk=466348bfe369d377,good,"The AI answer correctly identifies the ground-truth job as Junior Research Analyst at StoreNext in Israel’s consumer goods/FMCG market, with entry-level/no experience, Excel, finance/economics knowledge, and presentation skills. It also accurately describes the market research and data analysis responsibilities. The extra mention of multiple locations does not change the core match, and the answer is aligned with the query."
graduate analytics position tel aviv retail data,https://www.indeed.com/viewjob?jk=466348bfe369d377,good,"The AI answer correctly identifies the reference job as the best match: Junior Research Analyst at StoreNext in Tel Aviv-Yafo, entry-level/no prior experience, focused on retail/FMCG data analysis using POS data. It mentions the key location, graduate/entry-level fit, and retail/data relevance. Extra alternative jobs do not change the correctness of the main recommendation."
data analysis job for economics graduate in tel aviv,https://www.indeed.com/viewjob?jk=466348bfe369d377,good,"The AI answer correctly identifies the ground-truth job: Junior Research Analyst at StoreNext in Tel Aviv-Yafo, entry-level/0+, suitable for an economics graduate, with Excel and finance/economics knowledge, and focuses on data analysis and market research. It also correctly notes no prior experience is required. The extra suggested jobs are irrelevant but do not negate the correct match."
junior data analyst jobs in raanana,https://www.indeed.com/viewjob?jk=241e7d5657b0a7d0,good,"The AI answer correctly matches the reference job: it identifies StoreNext's Junior Research Analyst role in Ra'anana, notes the entry-level/no-experience requirement, and includes relevant skills like Excel and presentation. Although the query says 'junior data analyst jobs' and the title is 'Junior Research Analyst,' the role is clearly an entry-level analytics/data-analysis position and the recommendation is appropriate. It also provides the correct link and location."
